year,Freeport-McMoRan,BHP,Southern Copper,Glencore,Vale,Rio Tinto
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,1730,1297,0,0,0
2002,1524,1817,1228,0,0,0
2003,3199,1919,1332,0,0,0
2004,3006,2104,1436,0,161,0
2005,3369,2280,1380,0,522,0
2006,3102,2796,1211,0,589,0
2007,3231,2756,1184,0,626,860
2008,3337,3032,978,0,688,709
2009,3349,2661,971,0,437,909
2010,3142,2370,957,0,456,866
2011,2981,2512,1175,0,666,737
2012,2940,2413,1275,2623,639,616
2013,3330,3724,1234,3300,816,662
2014,3179,3808,1353,3408,838,649
2015,3337,3766,1486,3312,935,470
2016,3738,3483,1800,3143,999,551
2017,3067,2923,1754,2887,983,435
2018,3118,3865,1767,3205,871,606
2019,2579,3724,1974,3023,840,572
