year,Argentina,Australia,Brazil,Canada,Chile,China,DRC,Ghana,Indonesia,Kazakhstan,Mexico,Papua New Guinea,Peru,Russia,South Africa,United States,Uzbekistan,Zambia,World
1999,10000,22200,6150,23300,12400,3800,710,1900,2800,3200,8500,2500,4400,4200,6900,33900,2500,880,6800
2000,12900,23200,7400,24800,10100,3600,600,1900,2900,5000,9100,2500,4550,7700,8500,36200,2400,880,7200
2001,,,,,10000,,590,1980,3000,5900,9000,2400,4800,,9400,36300,2500,870,7600
2002,10200,27000,7600,29400,10000,4400,610,2100,3100,6300,9000,2300,4800,9300,10000,37600,2500,890,7900
2003,11200,29000,7600,29800,9900,5000,700,2200,3200,6300,9000,2200,5100,8900,10700,37800,1700,800,8200
2004,12400,30700,8100,31500,10700,5600,700,2300,3500,7800,9600,2200,5600,9800,11100,40100,1800,900,8800
2005,13700,31600,8300,33900,11900,6800,700,2500,3600,8300,10000,2600,6000,11000,12200,41600,1900,900,9500
2006,15200,33300,8800,35600,12700,7700,700,2700,3900,9400,10700,2700,6600,12200,13300,44000,2000,1000,10200
2007,13100,37300,9500,38600,14300,5400,300,1400,3600,11000,12400,2100,7600,14800,9700,45800,2400,1400,10000
2008,14200,38100,10200,39100,14900,6000,300,1500,3900,11500,14200,2200,8500,16100,10100,46900,2600,1500,10400
2009,13900,39900,10100,38100,14700,6700,300,1500,4000,11800,13200,2300,8500,15100,10300,46000,2800,1400,10400
2010,14700,41000,10800,39400,15400,7600,300,2500,4200,12700,13900,2500,9200,15900,10700,47200,3100,1500,11200
2011,17700,40800,11900,41100,17400,8500,400,3100,4700,13200,14800,2600,10200,17000,11100,49000,3300,1600,12000
2012,18400,43300,12100,43400,18700,9300,400,3400,5100,14100,15600,2800,10900,18000,11600,50700,3600,1700,12700
2013,18600,43000,12100,43100,19100,9800,400,3500,5200,14100,15600,2900,11100,18100,11500,52800,3800,1800,13100
2014,,,,,,,,,,,,,,,,,,,
2015,22600,65400,15600,45600,23500,14100,800,4300,11100,24300,17500,2700,12200,25400,13200,55800,6100,3900,15800
2016,20200,48800,14800,46200,24000,14600,800,4400,11700,25700,18900,3500,13000,26100,13500,57300,6500,3900,16300
2017,20900,50400,15600,48400,24600,16700,800,4700,12400,26300,19900,3700,13500,27900,13600,59800,6900,4000,17500
2018,,,,,,,,,,,,,,,,,,,
